step,phase,loss_pct,delay_ms,jitter_ms,sleep_s
45,Phase 4 — Escalation to critical (busy hour),14.452,196.9,57.7,8
46,Phase 5 — Sustained critical (peak congestion),15.0,215.0,58.8,4
47,Phase 5 — Sustained critical (peak congestion),16.0,230.0,62.5,4
48,Phase 5 — Sustained critical (peak congestion),17.0,245.0,66.2,4
49,Phase 5 — Sustained critical (peak congestion),18.0,260.0,70.0,4
50,Phase 5 — Sustained critical (peak congestion),19.177,260.5,64.2,8
51,Phase 5 — Sustained critical (peak congestion),17.723,244.5,75.2,8
52,Phase 5 — Sustained critical (peak congestion),17.676,254.1,70.1,8
53,Phase 5 — Sustained critical (peak congestion),16.873,259.0,65.2,8
54,Phase 5 — Sustained critical (peak congestion),18.021,272.4,73.2,8
55,Phase 5 — Sustained critical (peak congestion),17.954,268.6,65.8,8
56,Phase 5 — Sustained critical (peak congestion),16.857,259.6,67.3,8
57,Phase 5 — Sustained critical (peak congestion),16.87,252.9,63.8,8
58,Phase 6 — Slow recovery to Unstable,16.6,239.5,64.1,5
59,Phase 6 — Slow recovery to Unstable,15.2,219.0,58.2,5
60,Phase 6 — Slow recovery to Unstable,13.8,198.5,52.3,5
61,Phase 6 — Slow recovery to Unstable,12.4,178.0,46.4,5
62,Phase 6 — Slow recovery to Unstable,11.0,157.5,40.5,5
63,Phase 6 — Slow recovery to Unstable,9.6,137.0,34.6,5
64,Phase 6 — Slow recovery to Unstable,8.2,116.5,28.7,5
65,Phase 6 — Slow recovery to Unstable,6.8,96.0,22.8,5
66,Phase 6 — Slow recovery to Unstable,5.4,75.5,16.9,5
67,Phase 6 — Slow recovery to Unstable,4.0,55.0,11.0,5
68,Phase 6 — Slow recovery to Unstable,4.162,55.6,11.8,8
69,Phase 6 — Slow recovery to Unstable,4.225,56.5,10.4,8
70,Phase 7 — Stable recovery window,3.417,48.3,9.7,4
71,Phase 7 — Stable recovery window,2.833,41.7,8.3,4
72,Phase 7 — Stable recovery window,2.25,35.0,7.0,4
73,Phase 7 — Stable recovery window,1.667,28.3,5.7,4
74,Phase 7 — Stable recovery window,1.083,21.7,4.3,4
75,Phase 7 — Stable recovery window,0.5,15.0,3.0,4
76,Phase 7 — Stable recovery window,0.512,14.7,2.8,8
77,Phase 7 — Stable recovery window,0.506,15.5,3.2,8
78,Phase 7 — Stable recovery window,0.521,14.6,3.0,8
79,Phase 7 — Stable recovery window,0.524,15.5,2.7,8
80,Phase 7 — Stable recovery window,0.524,14.7,2.9,8
81,Phase 8 — Sharp interference burst (equipment),7.0,83.3,26.0,3
82,Phase 8 — Sharp interference burst (equipment),13.5,151.7,49.0,3
83,Phase 8 — Sharp interference burst (equipment),20.0,220.0,72.0,3
84,Phase 8 — Sharp interference burst (equipment),19.66,234.7,75.8,8
85,Phase 8 — Sharp interference burst (equipment),18.507,217.1,70.3,8
86,Phase 9 — Fast recovery post-burst,16.2,180.0,58.4,4
87,Phase 9 — Fast recovery post-burst,12.4,140.0,44.8,4
88,Phase 9 — Fast recovery post-burst,8.6,100.0,31.2,4
89,Phase 9 — Fast recovery post-burst,4.8,60.0,17.6,4
90,Phase 9 — Fast recovery post-burst,1.0,20.0,4.0,4
91,Phase 9 — Fast recovery post-burst,1.053,21.0,3.6,8
92,Phase 9 — Fast recovery post-burst,0.966,18.7,4.3,8
93,Phase 10 — Stable finish,0.8,17.5,3.5,4
94,Phase 10 — Stable finish,0.6,15.0,3.0,4
95,Phase 10 — Stable finish,0.4,12.5,2.5,4
96,Phase 10 — Stable finish,0.2,10.0,2.0,4
97,Phase 10 — Stable finish,0.216,9.7,2.0,8
98,Phase 10 — Stable finish,0.196,10.3,1.9,8
99,Phase 10 — Stable finish,0.186,9.7,2.1,8
100,Phase 10 — Stable finish,0.185,9.4,2.0,8
101,Phase 10 — Stable finish,0.195,9.7,2.1,8
